Model,MAE,RMSE,R2
Linear Regression,22162.775576359996,36219.14990791829,0.8289737900816956
Decision Tree,24973.490296803655,37864.08377595881,0.8130863275606903
Random Forest,18646.410135050643,28778.440686017126,0.8920256289044681
